year,stage,home_team,away_team,home_score,away_score,result,total_goals,home_elo,away_elo,elo_diff,home_fifa_rank,away_fifa_rank,rank_diff,home_form,away_form,form_diff,home_avg_scored,home_avg_conceded,away_avg_scored,away_avg_conceded,home_h2h_winrate,away_h2h_winrate,home_wc_exp,away_wc_exp,exp_diff,home_is_host,away_is_host,home_rest_days,away_rest_days
1954,Final,Hungary,Germany,2,3,0,5,1543.3,1513.2,30.1,60,9,-51,0.7619,0.4524,0.3095,3.333,1.5,2.333,2.167,0.5,0.5,9,20,-11,0,0,5862.0,5869.0
1954,Group 2 Play-off,Germany,Turkey,7,2,2,9,1534.9,1500.0,34.9,9,23,14,0.5893,0.5,0.0893,2.429,2.143,1.2,1.2,0.5,0.5,20,2,18,0,0,0.0,14.0
1954,Group 4 Play-off,Switzerland,Italy,4,1,2,5,1500.9,1590.6,-89.6,17,10,-7,0.4444,0.7545,-0.3101,1.75,2.0,2.4,1.0,0.5,0.5,12,18,-6,0,0,1459.0,1459.0
1954,Matchday 1,England,Belgium,3,3,1,6,1481.4,1424.5,56.9,3,6,3,0.5,0.0,0.5,0.667,0.667,0.75,3.0,0.5,0.5,16,14,2,0,0,1453.0,5856.0
1954,Matchday 1,Austria,Scotland,1,0,2,1,1482.2,1500.0,-17.8,24,34,10,0.25,0.5,-0.25,1.25,1.5,1.2,1.2,0.5,0.5,7,8,-1,0,0,7314.0,14.0
1954,Matchday 1,Uruguay,Czechia,2,0,2,2,1611.5,1532.4,79.1,11,38,27,0.9028,0.5714,0.3313,3.75,1.0,1.667,1.167,0.5,0.5,14,9,5,0,0,1445.0,5846.0
1954,Matchday 1,Hungary,South Korea,9,0,2,9,1521.6,1500.0,21.6,60,20,-40,0.5714,0.5,0.0714,3.143,1.714,1.2,1.2,0.5,0.5,9,11,-2,0,0,0.0,14.0
1954,Matchday 1,Serbia,France,1,0,2,1,1536.6,1482.2,54.4,60,2,-58,0.6667,0.381,0.2857,2.333,1.667,1.5,1.333,0.5,0.5,12,16,-4,0,0,1452.0,5848.0
1954,Matchday 1,Brazil,Mexico,5,0,2,5,1560.9,1398.6,162.3,4,15,11,0.7455,0.0,0.7455,3.3,1.5,1.0,3.833,1.0,0.0,22,17,5,0,1,1453.0,1453.0
1954,Matchday 2,Italy,Belgium,4,1,2,5,1565.5,1427.8,137.7,10,6,-4,0.6091,0.1667,0.4424,2.4,1.3,1.2,3.0,0.5,0.5,18,14,4,0,0,0.0,3.0
1954,Matchday 2,England,Switzerland,2,0,2,2,1478.2,1526.0,-47.8,3,17,14,0.5,0.5556,-0.0556,1.25,1.25,2.0,1.889,0.5,0.5,16,12,4,0,0,3.0,0.0
1954,Matchday 2,Uruguay,Scotland,7,0,2,7,1627.0,1479.0,148.0,11,34,23,0.9222,0.0,0.9222,3.556,0.889,0.0,1.0,0.5,0.5,14,8,6,0,0,3.0,3.0
1954,Matchday 2,Austria,Czechia,5,0,2,5,1503.2,1516.9,-13.7,24,38,14,0.5,0.4286,0.0714,1.2,1.2,1.429,1.286,0.5,0.5,7,9,-2,0,0,3.0,3.0
1954,Matchday 2,Turkey,South Korea,7,0,2,7,1482.0,1481.2,0.8,23,20,-3,0.0,0.0,0.0,2.0,7.0,0.0,9.0,0.5,0.5,2,11,-9,0,0,0.0,3.0
1954,Matchday 2,France,Mexico,3,2,2,5,1465.3,1387.3,78.0,2,15,13,0.2857,0.0,0.2857,1.286,1.286,0.857,4.0,1.0,0.0,16,17,-1,0,1,3.0,3.0
1954,Matchday 2,Brazil,Serbia,1,1,1,2,1572.2,1553.5,18.7,4,60,56,0.8,0.75,0.05,3.4,1.1,2.143,1.429,0.5,0.5,22,12,10,0,0,3.0,3.0
1954,Quarter-finals,Brazil,Hungary,2,4,0,6,1571.1,1540.3,30.8,4,60,56,0.7545,0.6667,0.0879,3.1,1.0,3.875,1.5,0.5,0.5,22,9,13,0,0,8.0,10.0
1954,Quarter-finals,Serbia,Germany,0,2,0,2,1554.6,1552.9,1.7,60,9,-51,0.6944,0.6806,0.0139,2.0,1.375,3.0,2.125,0.5,0.5,12,20,-8,0,0,8.0,4.0
